vocab,syn,morphs
고교생,고등학생; 고등학생,고교생
고국,조국,고국
고궁,"궁전, 궁정, 대궐, 전각, 궁",고궁
고난,고초,고난
고단하다,"곤하다, 노곤하다, 피곤하다; 피곤; 힘들다",고단
고달프다,"고단하다, 피로하다, 힘들다",고달프
고독,외로움,고독
고되다,"고단하다, 힘들다",고되
고려,생각,고려
고령,"노년, 노령",고령
고령화,노령화,고령화
고르다,"균등하다, 가지런하다",고르
고리,링,고리
고마워하다,감사하다,고마워
고상하다,우아하다,고상
고생,수고,고생
고수,지키다,고수
고스란히,그대로; 온전히/그대로,고스란히
고심,고심초사,고심
고아원,보육원,고아원
고안,궁리,고안
고요,정적; 조용하다,고요
고유,특유; 자연적/내재적,고유
고이다,괴다; 편안히/정성스레)/calmly/beautifully (곱게,고이
고작고작,고작해야; 겨우/기껏해야,고작
고장,"마을, 지역, 지방",고장
고조,무르익다; 격해지다/무르녹다/높아지다,고조
고찰,생각; 고려/궁리/배려,고찰
고충,"괴로움, 어려움; 괴로움/어려움/곤경/장애",고충
고통,아픔,고통
고함,함성,고함
고혈압,고혈압증,고
곡,노래; 노래,곡
곡물,곡식,곡물
곡식,곡물,곡식
곤궁,"빈곤, 빈궁",곤궁
곤욕,모욕,곤욕
곧다,바르다; 강직하다; 바로,곧
곧바로,즉시,곧바로
곧잘,"빈번히, 자주; 제법 잘) easily/often (쉽사리/자주",곧잘
곧장,똑바로,곧장
골대,골포스트,골대
골동품,"골동, 골동물",골동품
골머리,골치,골머리
골목,골목길,골목
골목길,골목,골목길
골짜기,골,골짜기
골치,골머리,골치
골칫거리,두통거리,골칫거리
곰곰이,곰곰,곰곰이
곱다,"아름답다, 예쁘다; 아름답다, 예쁘다; 아름답다, 예쁘다; 아름답다; 예쁘다",곱
곳곳,"도처, 여기저기; 여기저기",곳곳
공,"공로, 공적; 영; 영",공
공감,동감,공감
공경,존경,공경
공고,"공시, 반포, 공포",공고
공급,"보급, 제공",공급
공기,대기,공기
공동,합동,공동
공로,공; 공적/기여/기부/공헌/기고,공로
공문,공문서,공문
공백,"공란, 여백",공백
공사장,공사판,공사장
공상,"망상, 상상",공상
공연히,괜히; 꽨히/쓸데없이,공연히
공적,"공, 공로",공적
공지,알리다,공지
공터,"공지, 빈터, 터",공터
공통점,동일점,공통점
공평하다,공정하다,공평
공포,"공시, 반포, 공고; 두려움, 무서움",공포
공포감,"두려움, 무서움",공포감
공학,엔지니어링,공학
공헌,기여,공헌
과감하다,대담하다; 용감하다/급격하다/극단,과감
과격하다,"거세다, 난폭하다; 극심하다/지나치다",과격
과녁,과녁판,과녁
과도하다,지나치다; 심하다/지나치다/과하다,과도
과보호,과잉보호,과보호
과부,"과수, 과붓집",과부
과속,과속도,과속
과시,자랑,과시
과연,역시,과연
과잉,넘치다,과잉
과제,문제; 숙제; 숙제,과제
과하다,지나치다,과하
관객,"관람자, 구경꾼",관객
관계없다,상관없다,관계없
관계없이,상관없이,관계없이
관계있다,상관있다; 사이,관계
관념,견해; 개념,관념
관대하다,"너그럽다, 인자하다",관대
관람,구경; 보다,관람
관련,연관; 관계,관련
관련자,관계자,관련자
관례,"관습, 관행",관례
관료,관리,관료
관리,관료,관리
관습,"관례, 관행",관습
관심사,관심거리,관심사
관여,"간섭, 개입, 참견; 관계하다/참여하다/휘말리다/연루되/관련되다",관여
관용,아량; 아량/관면/도량/활달,관용
관용어,관용구,관용어
관절,뼈마디,관절
관점,견지,관점
관중,관객,관중
관직,직,관직
관찰,"관측, 살피다",관찰
관청,관공서,관청
관측,관찰; 목격하다/관찰되다/감시되다,관측
관하다,대하다,관하
관행,"관례, 관습; 관습/습관/풍속/풍습",관행
광경,장면,광경
광범위하다,광범하다,광범위
광복,독립,광복
광부,갱부,광부
광활하다,드넓다; 광대하다/대대적/광범위하다,광활
괜히,공연히,괜히
굉장하다,"대단하다, 상당하다",굉장
굉장히,매우,굉장히
교내,학내,교내
교도소,"감방, 감옥",교도소
교란,뒤흔들다,교란
교복,학생복,교복
교섭,"의논, 협의",교섭
교외,"근교, 시외",교외
교원,교사; 교사,교원
교육자,교육가,교육자
교장,학교장,교장
교정,바로잡다,교정
교제,사귀다; 데이트; 사귀다,교제
교체,대체; 교환; 바꾸다; 대신되다/대체되다,교체
교포,"교민, 동포",교포
교활하다,약다,교활
구,원; 아홉아홉; 아흔아흔,구
구걸,"걸식, 동냥",구걸
구경거리,구경감,구경거리
구경꾼,"관객, 관람자",구경
구급차,"앰뷸런스, 응급차",구급차
구두쇠,"수전노, 자린고비",구두쇠
구르다,돌다,구르
구매,"구입, 매입, 사다; 사다",구매
구박,타박,구박
구별,"구분, 변별, 분간",구별
구부리다,"굽히다, 숙이다",구부리
구분,"구별, 분류, 분리",구분
구비,갖추다; 갖추다/완비하다,구비
구사,쓰다; 쓰다; 능숙하게 다루다/능통하다,구사
구상,"설계, 생각, 아이디어",구상
구석구석,샅샅이,구석구석
구성,짜임새; 플롯,구성
구성원,성원,구성원
구속,속박,구속
구실,소임,구실
구애,"거리낌, 방해",구애
구어,입말,구어
구원,"구조, 구제, 구하다",구원
구입,"구매, 매입, 사다",구입
구절,"글귀, 문구",구절
구제,구조,구제
구조,"구제, 구하다; 틀, 체제; 제도적, 제도적",구조
구축,쌓다,구축
구출,"구조, 구하다",구출
구태여,"굳이, 일부러; 굳이/일부러",구태여
구토,토,구토
구하다,찾다; 건지다,구하
구호,"구제, 구하다",구호
국가,나라; 나라,국가
국무총리,총리,국무총리
국물,국,국물
국비,관비,국비
국산,국내산,국산
국악,한국 음악,국악
국왕,"왕, 임금",국왕
국정,국무,국정
국한,한정; 한정되다,국한
국화,국화꽃,국화
군,군대,군
군대,군,군대
군데,곳,군데
군데군데군데군데,"여기저기, 이곳저곳",군데군데
군사,"병사; 병졸, 병사",군사
군중,대중,군중
굳이,"구태여, 기어이, 일부러",굳이
굴,"동굴, 소굴",굴
굴곡,기복,굴곡
굴다,행동하다,굴다
굶다,주리다,굶
굶주림,기아,굶주림
굽히다,"구부리다, 숙이다",굽
궁,궁궐,궁
궁궐,"궁, 궁전, 궁정, 대궐, 전각",궁궐
궁중,"궐내, 궁내",궁중
권위적∙권위적,"권위주의적, 권위주의적",권위
권유,권하다,권유
권장,장려; 격려하다/권유하다/장려하다/북돋다,권장
권투,"복싱, 권투 경기",권투
권하다,권유하다,권
권한,권리,권한
귀감,"모범, 본보기; 모범/본보기",귀감
귀국,환국,귀국
귀하다,고귀하다,귀하
귀향,환향,귀향
귓속말,귀엣말,귓속말
규모,크기,규모
규범,규율; 규칙,규범
규율,규범,규율
균,세균,균
균형,평형; 평형,균형
그간,그사이; 그동안,그간
그늘,음영,그늘
그다지,그리; 별로; 부정문,그다지
그때그때그때그때,수시로,그때
그럭저럭,그렁저렁,그럭저럭
그르다그르다,잘못되다; 잘못되다,그르
그릇되다,잘못되다,그릇
그리,그다지,그리
그만큼그만큼,"그만치, 그만치",그만큼
그만하다,그만두다,그만
그제야,비로소,그제야
그지없다,한없다,그지없
극복,"뛰어넘다, 이기다",극복
극심하다,막심하다,극심
극히,"대단히, 상당히",극히
근간,"근본, 근저, 기초",근간
근검절약,아끼다,근검절약
근교,교외,근교
근로자,노동자,근로자
근무,일하다,근무
근본,"근저, 기초, 근간",근본
근심,걱정; 걱정,근심
글쓴이,"작가, 저자",글쓴이
긁다,긁적이다,긁
금,금요일; 황금; 금지하다; 금요일,금
금기,터부,금기
금년,올해; 올해,금년
금리,이자,금리
금세,금방; 순식간에/금방/어느새,금세
금속,쇠붙이,금속
금액,"값, 가격",금액
금전,화폐; 돈,금전
급,"급수, 계급, 등급",급
급급하다,바쁘다,급급
급등,폭등; 급증하다/폭등하다,급등
급락,폭락; 폭락하다/곤두박질치다,급락
급여,급료,급여
긍지,자부심,긍지
기,깃발,기
기고,투고,기고
기교,"수완, 테크닉",기교
기구,도구,기구
기권,포기; 삼가다/피하다/절제하다,기권
기꺼이,흔쾌히,기꺼이
기능,성능,기능
기대다,"의존하다, 의지하다",기대
기도,"도모, 시도; 기원",기도
기독교,"그리스도교, 크리스트교",기독교
기량,기능; 재주/능력/솜씨,기량
기름기,유분,기름기
기립,"서다, 일어나다, 일어서다; 일어서다",기립
기만,"사기, 속이다",기만
기말시험,기말고사,기말시험
기묘하다,신기하다,기묘
기미,낌새,기미
기반,"기초, 바탕; 기틀/기초/터전",기반
기본,"기초, 바탕",기본
기부,기증,기부
기부금,기금,기부금
기상,날씨,기상
기색,기미,기색
기성세대,구세대,기성
기세,형세; 강요/힘/위력,기세
기술,테크닉,기술
기술자,기술가,기술자
기아,굶주림,기아
기압,대기압,기압
기약,약속,기약
기어이,기어코; 반드시,기어이
기어코,기어이,기어코
기업가,"기업인, 기업자",기업가
기업체,사업체,기업체
기여,공헌; 공헌하다/이바지하다,기여
기울다,경사지다; 쏠리다,기울
기웃거리다,"기웃대다, 기웃기웃하다",기웃거리
기원,기도; 바라다,기원
기원전,비시,기원전
기원후,"서기, 서력, 에이디",기원후
기이하다,기묘하다,기이
기인하다,말미암다; 말미암다,기인
기절,혼절,기절
기점,"시작점, 시점, 출발점",기점
기증,"증여, 증정",기증
기초,"근본, 근저, 근간",기초
기틀,"기반, 기초, 토대; 기반/기초/바탕",기틀
기피,"회피, 꺼리다, 멀리하다, 피하다; 회피하다/모면하다/막다/방지하다/꺼리다/피하다",기피
기필코,반드시; 기어이/반드시,기필코
기한,마감,기한
기행문,여행기,기행문
기호,심벌,기호
기호품,기호 식품,기호품
긴팔,긴소매,긴팔
길가,길옆,길가
길거리,거리; 거리,길거리
깃,옷깃,깃
깃발,기,깃발
깃털,깃,깃털
까다,벗기다,까
까닭,이유; 이유/근거/원인,까닭
까먹다,"잊다, 잊어버리다",까먹
깔끔하다,청결하다,깔끔
깜깜하다,어둡다,깜깜
깜박하다,"까먹다, 잊다, 잊어버리다",깜박
깡통,캔,깡통
깨다,부수다; 어기다; 일어나다,깨
깨닫다,알아차리다; 이해,깨닫
깨뜨리다,깨트리다; 깨트리다,깨뜨리
꺼리다,싫어하다; 살뚱머룩하다/뜨악하다/피하다,꺼리
꺼림칙하다,께름칙하다; 찜찜하다/찝찝하다/죄 있다,꺼림칙
꺼지다,나가다; 내려앉다,꺼지
꺾다,부러뜨리다; 돌리다,꺾
껍데기,껍질,껍데기
껍질,껍데기,껍질
께,경,께
껴안다,포옹하다,껴안
꼬마,꼬맹이,꼬마
꼬박,꼬박이,꼬박
꼭대기,정상,꼭대기
꼴,모습; 모양,꼴
꼴불견,가관,꼴불견
꼴찌,꼴등,꼴찌
꼼꼼히,꼼꼼,꼼꼼히
꽃무늬,꽃문양,꽃무늬
꽉,"꾹, 힘껏; 세게/단단히/꼭)/fully (가득",꽉
꽤,"비교적, 상당히, 제법; 꽤/곧잘",꽤
꾀하다,"꾸미다, 도모하다",꾀하
꾸다,빌리다; 빌리다,꾸
꾸리다,싸다; 싸다/챙기다/2다스리다/제가하다/처리하다/당가하다,꾸리
꾸미다,가꾸다; 날조하다; 수식하다,꾸미
꾸준하다,끊임없다,꾸준
꾸준히,끊임없이; 끊임없이,꾸준히
꾸중,꾸지람; 큰소리,꾸중
꾸짖다,꾸지람하다,꾸짖
꾹,꽉,꾹
꿈꾸다,염원하다,꿈꾸
꿈틀거리다,"꿈틀꿈틀하다, 꿈틀대다",꿈틀거리
꿰뚫다,관통하다,꿰뚫
꿰매다,"깁다, 바느질하다",꿰매
끄덕이다,"끄덕거리다, 끄덕대다, 끄덕하다",끄덕이
끄집어내다,꺼내다,끄집어내
끈,줄; 줄,끈
끈기,참을성,끈기
끈질기다,집요하다; 집요하다/악착같다,끈질기
끊기다,"끊어지다; 끊어지다, 단절되다; 끊어지다; 끊어지다, 중단되다; 끊어지다; 끊어지다",끊기
끊어지다,"끊기다; 끊기다, 단절되다; 끊기다, 중단되다; 끊기다; 끊기다",끊
끊임없다,"면면하다, 부단하다",끊임없
끊임없이,"면면히, 부단히",끊임없이
끌다,운전하다; 이끌다,끌
끌어내다,유도하다,끌어내
끌어당기다,잡아당기다,끌어당기
끌어들이다,포섭하다,끌어들이
끌어안다,껴안다; 껴안다,끌어안
끓어오르다,치밀다,끓어오르
끔찍이,몹시; 극진히,끔찍이
