vocab,syn,morphs
오락,놀이; 게임,오락
오래오래,길이길이,오래오래
오로지,"다만, 오직; 오직/단지",오로지
오류,"에러, 잘못",오류
오른편,오른쪽; 오른쪽,오른편
오름세,상승세,오름세
오리다,자르다; 다섯다섯; 쉰·쉰,오
오만,"교만, 거만",오만
오죽,"오죽이, 오죽이나",오죽
오줌,소변,오줌
오직,다만,오직
오케스트라,관현악단,오케스트라
오토바이,모터사이클,오토바이
오페라,가극,오페라
오해,곡해,오해
온돌,온돌방,온돌
온수,더운물,온수
온전하다,멀쩡하다,온전
온종일온종일,"종일, 종일, 진종일, 진종일",온종일
온천,온천장,온천
온통온통,"전부, 전부; 전부/모두/전적으로/완전히",온통
옷깃,깃,옷깃
옷차림,복장,옷차림
와인,포도주,와인
완공,준공,완공
완치,전치,완치
완쾌,"완치, 쾌유, 쾌차",완쾌
왈가왈부,가타부타,왈가왈부
왕궁,궁궐,왕궁
왕권,군권,왕권
왕따,따돌림,왕따
왕래,내왕,왕래
왕위,보위,왕위
왜곡,조작; 비틀다/일그러뜨리다,왜곡
왜소하다,작다,왜소
외갓집,외가,외갓집
외동딸,"독녀, 외딸",외동딸
외동아들,"독자, 외아들",외동아들
외래어,차용어,외래어
외면,겉면; 마주치기를 꺼리어 피하거나 얼굴을 돌림,외면
외삼촌,외숙,외삼촌
외아들,독자,외아들
외양,겉모양,외양
외유내강,내강외유,외유내강
외제,외국제,외제
외출복,외출옷,외출복
외할머니,외조모,외할머니
외할아버지,외조부,외할아버지
외환,외국환 어음,외환
왼편,왼쪽; 왼쪽,왼편
요건,"자격, 조건",요건
요구,요청,요구
요란,"소란, 시끄럽다",요란
요리법,조리법,요리법
요새,요즘; 요즘,요새
요양원,요양소,요양원
요인,원인,요인
요점,요체,요점
요즈음,요사이,요즈음
요청,요구,요청
욕,욕설,욕
욕구,욕망,욕구
욕망,욕구,욕망
욕설,욕,욕설
욕실,목욕실; 목욕탕,욕실
용건,볼일,용건
용기,그릇; 그릇,용기
용도,쓰임새,용도
용모,면상,용모
용법,사용법,용법
용의자,피의자,용의자
용이하다,쉽다,용이
용하다,신통하다,용
우거지다,울창하다,우거지
우대,후대,우대
우뚝,우뚝이,우뚝
우러나다,우러나오다,우러나
우렁차다,우렁우렁하다; 듣기 좋다/낭랑하다,우렁차
우려,염려; 걱정하다/고민하다/근심하다,우려
우세,우월,우세
우수,우등; 뛰어나다/훌륭하다/탁월하다,우수
우스꽝스럽다,우습다,우스꽝
우습다,웃기다,우습
우여곡절,곡절,우여곡절
우월,우세; 낫다,우월
우정,"우애, 우의",우정
우측,오른쪽,우측
우편물,우편,우편물
운,운수,운
운동선수,스포츠맨; 스포츠,운동
운명,"명운, 명; 명운, 명; 죽다",운명
운반,옮기다; 배달,운반
운송,통운; 운반,운송
운수업,수송업,운수업
운영,경영; 경영하다,운영
운용,운영,운용
운전기사,기사; 운전사,운전기사
운항,운행,운항
울렁거리다,"울렁대다, 울렁울렁하다; 울렁대다, 울렁울렁하다",울렁거리
울부짖다,"부르짖다, 절규하다; 통곡하다/흐느끼다",울부짖
울창하다,"무성하다, 우거지다",울창
울타리,"담, 담장",울타리
움직임,동작,움직임
움츠리다,웅크리다,움츠리
움켜잡다,쥐다,움켜잡
움켜쥐다,잡다,움켜쥐
웃기다,우습다,웃기
웃돌다,상회하다,웃돌
웃음소리,웃음; 웃음,웃음
웅장하다,"굉장하다, 웅대하다; 성대하다/웅대하다",웅장
웅크리다,움츠리다,웅크리
워낙,원체; 원체; 원래/2아주,워낙
원,"동그라미, 원형",원
원가,원금,원가
원격,원거리,원격
원금,본전,원금
원동력,활력,원동력
원래원래,"본디, 본디",원래
원리,"논리, 법칙; 법칙; 원칙/논리/법칙/본체",원리
원만하다,"둥글다, 둥글둥글하다; 단란하다/우호적이다/화목하다",원만
원망,"불평, 원, 탓; 탓하다",원망
원본,원전,원본
원색적∙원색적,"노골적, 노골적",원색
원수,"앙숙, 적",원수
원인,이유; 이유,원인
원조,"지원, 도움, 도와주다, 돕다; 지원하다",원조
원칙,"규칙, 법칙; 원리/법칙/규칙/법",원칙
원형,"기본형; 동그라미, 원",원형
월,월요일; 월요일,월
월간,월간지,월간
월세,사글세; 월셋방,월세
웬만하다,어지간하다; 괜찮다/쑬쑬하다,웬만
위,등; 위장,위
위급하다,"급박하다, 위태하다, 위험하다",위급
위기,"고비, 위험; 위험",위기
위대하다,"대단하다, 뛰어나다, 훌륭하다",위대
위독하다,"위중하다, 위태하다, 위험하다; 위중하다/심각하다/위급하다",위독
위력,힘,위력
위로,"위안, 달래다",위로
위반,위배,위반
위법,불법,위법
위성,인공위성,위성
위아래,아래위,위아래
위안,"위로, 달래다; 위로",위안
위염,위장염,위염
위인,"영웅, 인물; 인물",위인
위조,"날조, 조작; 모조하다/위필하다",위조
위주,중심; 주로/위해,위주
위층,상층,위층
위태롭다,"아슬아슬하다, 위험하다",위태
위협,협박; 협박하다,위협
윗사람,손윗사람; 선배,윗사람
유골,유해,유골
유권자,선거인,유권자
유기농,유기 농업,유기농
유난스럽다,"남다르다, 별나다, 유별나다; 남다르다/별나다/유별나다",유난
유도,"유인, 이끌다; 설득하다",유도
유래,내력; 비롯하다,유래
유례,전례,유례
유리,유익; 이롭다/유익하다,유리
유리창,"창, 창문",유리창
유망,촉망,유망
유머,농담,유머
유발,"촉발, 일으키다; 일어나다/일으키다/벌이다/끼치다",유발
유사,"근사, 비슷하다; 비슷하다/엇비슷하다/근사하다/흡사하다",유사
유서,유언장,유서
유식하다,똑똑하다,유식
유아,어린아이,유아
유언비어,"낭설, 뜬소문",유언비어
유연하다,부드럽다; 유통성 있다/신축성 있다/탄력적이다,유연
유의,주의,유의
유익,이익,유익
유일,유일무의,유일
유일무이,유일,유일무이
유입,들여오다; 흘러들다/흘러들어가다,유입
유적,고적,유적
유전,내력,유전
유전자,유전 인자,유전자
유지,지속; 지키다/지탱하다,유지
유창하다,"막힘없다, 유려하다; 능숙하다/유려하다",유창
유출,내가다,유출
유치하다,어리다; 끌어모으다/끌어들이다/유인하다,유치
유쾌,"기쁘다, 즐겁다",유쾌
유포,"퍼뜨리다, 퍼지다",유포
유형,"종류, 타입; 종류/타입",유형
유혹,호리다; 영혹/유인,유혹
유희,놀이; 놀이,유희
육류,고기,육류
육지,땅; 땅,육지
육체,"신체, 육신; 신체적, 신체적",육체
윤,윤기,윤
윤리,"도덕, 도리; 도덕적, 도덕적",윤리
율동,동작,율동
융통성,신축성,융통성
융합,융화; 결합하다/합체하다,융합
으르다,위협하다,으르
으스대다,"뽐내다, 재다",으스대
은사,"선생, 스승",은사
은혜,덕분,은혜
읊다,"낭송하다, 외다",읊
음력,태음력,음력
음모,모략,음모
음반,"디스크, 판",음반
음성,"말소리, 목소리; 목소리",음성
음식물,음식; 음식,음식물
음악회,콘서트; 콘서트,음악회
음향,소리,음향
응답,"답, 대답; 대답하다/답하다/호응하다/응대하다/반응하다",응답
응모,지원,응모
응용,활용,응용
응하다,따르다; 받아들이다/대답하다/수용하다,응하
의,도의; 의지,의
의견,"견해, 생각",의견
의논,논의,의논
의도,"뜻, 의향, 의사, 의지; 의지/계획",의도
의뢰,"부탁, 요청",의뢰
의류,"옷, 의복",의류
의리,예의,의리
의무,책무,의무
의문,의혹; 의아,의문
의복,옷; 옷,의복
의사,"뜻, 의도, 의향, 의지",의사
의사소통,커뮤니케이션,의사소통
의상,옷,의상
의식,"정신; 사상, 정신; 의례, 식; 인식하다/인지하다/지각하다",의식
의심,의혹,의심
의아하다,"이상하다, 의심스럽다",의아
의약품,"약, 약품",의약품
의외,뜻밖; 뜻밖에,의외
의의,의미,의의
의젓하다,"늠름하다, 점잖다",의젓
의존,의지,의존
의지,"의존; 의존; 뜻, 의도, 의향, 의사",의지
의하다,의거하다,의하
의향,"뜻, 의도, 의사, 의지",의향
의혹,의아,의혹
이,"사람; 이글대다, 이글이글하다; 이기주의적; 얹다; 가령, 예컨대; 이어서; 기왕이면; 전직; 나중; 두; 둘; 스무; 스물; 지금보다 이전 (벌써/이미/기왕/이전/어차피",이
이견,이의,이견
이곳저곳,여기저기,이곳저곳
이기주의,에고이즘,이기주의
이끌다,"주도하다, 리드하다; 주도하다, 리드하다; 선도하다/데리고 가다/안내하다",이끌
이내,곧; 안; 곧/바로/금방,이내
이념,"사상, 주의, 철학",이념
이동,"이전, 옮기다",이동
이득,"득, 이익",이득
이듬해,내년,이듬해
이따,이따가; 이따가,이따
이따금,드문드문; 가끔,이따금
이래,이후,이래
이레,이렛날,이레
이력,경력,이력
이롭다,유리하다; 유익하다,이롭
이루다,"달성하다, 성취하다, 실현하다; 구성하다, 형성하다",이루
이루어지다,실현되다,이루어지
이룩하다,이루다; 이루다/실현하다/성취하다/해내다/완수하다,이룩
이르다,"다다르다, 도착하다; 말하다, 알리다; 달하다/닿다/도달하다/도착하다/도래하다/다다르다/내도하다",이르
이른바,소위,이른바
이름나다,유명하다,이름나
이름표,명찰,이름표
이리저리,요리조리,이리저리
이만큼이만큼,"이만치, 이만치",이만큼
이메일,전자 우편,이메일
이면,"뒷면; 속, 속사정, 속정; 뒷면",이면
이미지,심상; 인상,이미지
이바지,공헌; 공헌하다/기여하다/기부하다/기증하다,이바지
이벤트,행사; 행사,이벤트
이별,"작별, 헤어지다; 헤어지다",이별
이상,이데아,이상
이슬람교,회교,이슬람교
이어받다,"계승하다, 대물리다, 물려받다",이어받
이어서,이어,이어서
이어지다,통하다; 계속되다,이어지
이왕이왕,"이왕에, 기왕, 기왕",이왕
이용자,사용자,이용자
이윤,"이문, 이익금",이윤
이의,"반론, 이견",이의
이익,이윤,이익
이전,옮기다,이전
이제껏,여태껏,이제껏
이주민,이주자,이주민
이치,"섭리, 순리; 논리/천리",이치
이행,실행,이행
익다,"숙달하다, 익숙하다, 친숙하다; 익숙하다",익
익살스럽다,"재미있다, 짓궂다; 우습다/희극적이다",익살
익히다,배우다,익히
인,사람,인
인간,사람; 사람,인간
인격,"됨됨이, 인성",인격
인공,"인위; 인위적, 인위적",인공
인공위성,위성,인공위성
인근,근처; 근방/근처/이웃,인근
인내,"견디다, 버티다, 참다",인내
인내심,참을성,인내심
인도,보도,인도
인력,노동력,인력
인물,사람; 생김새,인물
인사,인물,인사
인상,용모; 오르다; 이미지; 상승,인상
인생,인생살이,인생
인성,"됨됨이, 인간성, 인격",인성
인쇄,프린트,인쇄
인식,"의식, 지각, 느끼다, 알다; 느끼다; 알다/깨닫다/의식하다",인식
인심,"마음씨, 민심, 인정,",인심
인연,연고,인연
인위적∙인위적,인공적,인위
인재,인물,인재
인정,"마음씨, 정; 시인",인정
인지,"인식, 지각",인지
인체,신체,인체
인하,내리다; 말미암다; 줄이다/낮추다/축소하다/떨어뜨리다/감하다,인하
일,일요일; 매일매일; 일일; 일요일; 하나; 하루; 한,일
일간지,일간 신문,일간지
일감,일거리,일감
일거양득,"일거이득, 일석이조",일거양득
일과,일정,일과
일그러지다,"비뚤어지다, 찌그러지다",일그러지
일념,집념,일념
일다,생기다; 일어나다/부풀다/생기다,일다
일대,일원,일대
일류,최고,일류
일몰,해넘이,일몰
일반,"보통; 보편; 보편적, 보편적",일반
일반석,보통석,일반석
일본어,일어,일본어
일부러,굳이; 고의로,일부러
일부분,일부; 일부,일부분
일생,평생,일생
일석이조,일거양득,일석이조
일손,손,일손
일시일시,"한때, 한때, 한시",일시일시
일시,"날짜, 시간",일시
일어,일본어,일어
일원,멤버,일원
일으키다,"야기하다, 유발하다",일으키
일일이,하나하나,일일이
일자,날짜; 날짜,일자
일자리,직장; 직장,일자리
일정,"스케줄; 스케줄, 일과",일정
일정표,스케줄,일정표
일찌감치,일찌거니; 일찍,일찌감치
일찍이,일찍; 일찍,일찍이
일체일체,일절; 전체/총체,일체
일출,해돋이,일출
일치,"같다, 맞다; 맞다; 맞다/들어맞다/동조하다/같다",일치
일컫다,부르다; 가지켜 말하다/부르다,일컫
일터,작업장; 직장; 직장,일터
일화,에피소드,일화
임금,"급료, 급여, 봉급; 왕",임금
임무,"사명, 업무; 업무/사무",임무
임산부,임신부,임산부
임신,"잉태, 회임",임신
임신부,임부,임신부
임하다,맞다,임하
입대,입영,입대
입맛,"밥맛, 식욕, 구미",입맛
입시,입학시험,입시
입장,처지; 태도,입장
입증,증명; 증명하다/논증하다,입증
입학시험,입시,입학시험
입학식,입교식,입학식
잇다,"계승하다, 연속하다; 연결하다/연속하다/계승하다",잇
잇달다,잇따르다,잇달
잇따르다,"연달다, 잇달다; 잇달다/연달다",잇따르
자,글자,자
자갈,돌,자갈
자국,흔적; 본국,자국
자그마하다,"작다, 조그마하다",자그마
자금,"밑천, 비용",자금
자꾸만,자꾸,자꾸
자녀,자식; 자식,자녀
자라나다,성장하다; 성장하다; 자라다/장성하다/성장하다,자라나
자랑스럽다,대견하다; 호,자랑
자리,이부자리,자리
자립,독립,자립
자만,과시,자만
자모,낱자,자모
자문,묻다,자문
자본,자금,자본
자산,재산,자산
자살,"자결, 자진, 자해",자살
자세하다,상세하다; 태도,자세
자손,"후손, 후예",자손
자신,자부,자신
자아,"자의식, 주관, 에고이즘",자아
자아실현,자기실현,자아실현
자연재해,천재,자연재해
자연적∙자연적,천연적,자연
자연히,자연,자연히
자외선,유브이,자외선
자음,닿소리,자음
자자손손,대대손손,자자손손
자재,재료,자재
자제,억누르다,자제
자주색,"자주, 자색",자주
자질,소질; 자격/조건,자질
자취,흔적,자취
자칫,하마터면; 하마터면,자칫
자태,"모습, 용모; 모습/자세",자태
작동,가동,작동
작문,글짓기,작문
작별,"이별, 헤어지다",작별
작업,일,작업
작은아버지,숙부,작은아버지
작은어머니,숙모,작
작전,전술,작전
작정,"결심, 결정",작정
잔돈,잔금; 거스름돈,잔돈
잔소리,잔말,잔소리
잘살다,부유하다; 꼭,잘
잠옷,파자마,잠옷
잠자리,자리,잠자리
잠자코,"가만히, 말없이",잠자코
잠잠하다,"고요하다, 조용하다",잠잠
잡아가다,체포하다,잡아가
잡음,잡소리; 소음/원소,잡음
잡초,잡풀,잡초
장,"장; 창자; 간장; 굉장하다, 기특하다; 시장",장
장가,결혼,장가
장거리,원거리,장거리
장기,장기간,장기
장기간,장기,장기간
장남,맏아들,장남
장년,"중년, 성년",장년
장단,박자,장단
장단점,장단,장단점
장담,확신; 큰소리,장담
장래,미래; 전도,장래
장려,권장,장려
장례,"장사, 초상",장례
장만,"마련, 준비",장만
장사,팔다,장사
장수,만수,장수
장식,"치장, 수식",장식
장신구,액세서리,장신구
장악,쥐다,장악
장애,"방해, 저해; 불구자, 장애자",장애
장애물,방해물,장애물
장인,전문가,장인
장차,차차; 앞으로/미래에/후일에,장차
잦다,"거듭하다, 빈번하다; 흔하다; 빈번하다/흔하다",잦
재고,재고품,재고
재난,"난리, 재앙",재난
재능,"능력, 소질, 재주",재능
재다,측정하다; 재생; 측정하,재
재무,재정,재무
재물,"재산, 재화",재물
재배,"배양, 기르다, 키우다; 가꾸다/일구다/경작하다",재배
재벌,"부자, 재산가",재벌
재빠르다,잽싸다,재빠르
재산,"자산, 재물",재산
재생,"갱생, 소생; 재활용",재생
재앙,재난,재앙
재작년,"전전년, 전전해, 지지난해",재작년
재정,재무,재정
재주,"소질, 솜씨, 재능",재주
재직,근무,재직
재촉,"독촉, 촉구, 서두르다",재촉
재치,기지,재치
재해,"난리, 사고",재해
재혼,개가,재혼
잽싸다,"민첩하다, 신속하다, 재빠르다",잽싸
쟁점,이슈,쟁점
저가,"싼값; 저만치, 저만치; 저기; 젓가락",저
저녁때,저녁녘,저녁때
저렴하다,싸다; 싸다,저렴
저마다저마다,"각자, 각자",저마다
저버리다,"배반하다, 배신하다",저버리
저서,책,저서
저승,"저세상, 황천",저승
저자,"지은이, 필자",저자
저장,갈무리,저장
절정,"정점, 정상",절정
저지르다,범하다,저지르
저축,저금; 저금,저축
저항,"거부, 대항, 반항, 항거; 거부/반항",저항
저해,"방해, 장애",저해
저혈압,저혈압증,저혈압
적대,"대치, 대적",적대
적립,모으다,적립
적발,적출,적발
적색,"붉은색, 빨간색, 홍색",적색
적시다,축이다,적시
적어도,최소한,적어도
적어지다,"감소하다, 축소하다",적어지
적응,익숙해지다; 순응,적응
적절히,잘; 잘,적절히
적정,알맞다; 알맞은 정도,적정
적합,"적격, 합당, 알맞다; 걸맞다/알맞다/적절하다/마땅하다",적합
적히다,쓰이다,적히
전구,알,전구
전국,"거국; 거국적, 거국적",전국
전기,전환기,전기
전년,지난해,전년
전달,전하다; 전하다; 전하다; 지난달,전달
전래,내려오다; 도래되다/전해 내려오다,전래
전략,책략; 전술/무략/병략,전략
전망,조망; 장래; 조망/관망/경관,전망
전망대,망루,전망대
전문,프로,전문
전문가,프로,전문가
전반부,상반부,전반부
전성기,"전성시대, 한창때",전성기
전셋값,전세가,전셋값
전송,보내다,전송
전신,온몸,전신
전염,"감염, 옮다",전염
전염병,"돌림병, 유행병",전염병
전율,"떨다, 떨리다",전율
전쟁터,전장,전쟁터
전통적∙전통적,"고전적, 고전적",전통
전투,"교전, 싸움, 전쟁",전투
전파,"파급, 퍼뜨리다; 확산하다/퍼지다/퍼뜨리다/옮기다",전파
전화위복,새옹지마,전화위복
전환,바꾸다,전환
전환기,전기,전환기
전후,앞뒤; 경,전후
절,"사찰; 절름거리다, 절뚝이다, 절뚝대다, 절뚝거리다",절
절감,"경감, 절약, 줄이다; 통감하다; 절약하다/줄이다",절감
절대절대,"절대로; 무조건적, 무조건적",절대
절대로,절대,절대로
절도,도둑질,절도
절망,좌절,절망
절반,반절; 반,절반
절벽,"낭떠러지, 벼랑",절벽
절실하다,절박하다,절실
절약,아끼다; 긴축/절감,절약
절차,"순서, 차례; 순서/차례",절차
절친하다,극친하다; 친밀하다/긴밀하다/밀접하다,절친
점,점술,점
점검,검사; 검사하다/검열하다/점사하다,점검
점령,점거; 점거하다/점유하다/점하다,점령
점심때,점심; 점심,점심때
점차점차,"점점, 차차",점차
점퍼,잠바,점퍼
점포,"가게, 상점",점포
점프,뛰다,점프
접근,"다가가다, 다가오다",접근
접대,"대접, 서비스, 접객",접대
접속,"연결, 잇다; 연결; 연결; 인접하다/접근하다",접속
접수,받다,접수
접어들다,들어서다; 다가오다/이르다/접근하다,접어들
접전,교전,접전
접촉,닿다; 접하다,접촉
젓다,섞다,젓
정,정히,정
정감,"느낌, 정서",정감
정계,정치계,정계
정교하다,"섬세하다, 치밀하다, 세밀하다, 정밀하다; 세밀하다/정밀하다",정교
정권,"행정권, 정치권력",정권
정답다,"사이좋다, 상냥하다, 의좋다",정답
정당,"당; 공명정대하다, 공정하다, 떳떳하다, 바르다, 옳다, 합당하다; 공정하다/바르다",정당
정말로,"진짜로, 정말",정말로
정밀,"치밀하다, 세밀하다",정밀
정복,정벌; 정벌/극복,정복
정부,행정부,정부
정사각형,정방형,정사각형
정상,"산꼭대기, 절정",정상
정서,"감정, 기분",정서
정성껏,"극진히, 성심껏, 마음껏",정성껏
정세,"상황, 형세",정세
정열,"열정, 열성",정열
정월,일월; 일월,정월
정의,뜻; 뜻; 공평성/정당/도리,정의
정장,양복; 양복,정장
정전,단전,정전
정점,절정,정점
정정당당하다,"당당하다, 떳떳하다; 당당하다/떳떳하다",정정당당
정중하다,"점잖다, 엄중하다",정중
정지,"멈추다, 서다",정지
정책,정략; 시책/방책/방침,정책
정체,"본체; 지체, 침체; 막히다; 침체되다/삽체되다",정체
정치가,정치인,정치가
정치인,정치가,정치인
정화,순화; 카타르시스; 정제,정화
정확히,명확히,정확히
제각기제각기,"각자, 각자, 제가끔, 제각각, 제각각",제각기
제거,없애다,제거
제과점,빵집; 빵집,제과점
제기,"제언, 제의; 제론하다/제언하다",제기
제대,전역,제대
제대로,잘; 잘,제대로
제때,제시간,제때
제발,"꼭, 부디",제발
제법,"곧잘, 꽤",제법
제시간,제때,제
제안,제의,제안
제약,조제; 통제/구속/제한,제약
제외,"빼다, 제하다; 빠지다/배척되다/배제되다",제외
제의,"제기, 제언",제의
제작,만들다; 만들다; 생산하다/배출하다/만들다,제작
제작자,작자,제작자
제재,벌,제재
제정,정하다; 정하다; 입법화하다/규정하다,제정
제조,"개발, 생산, 만들다",제조
제출,내다; 내다,제출
제패,우승,제패
제품,제조품; 물건,제품
제한,한정; 금지되다/속발되다,제한
조,"조목, 조항; 팀; 팀",조
조각,조소,조각
조국,고국,조국
조그마하다,"자그마하다, 작다",조그마
조그맣다,작다; 작다,조그맣
조급하다,성급하다; 성급하다,조급
조르다,"떼쓰다, 투정하다; 괴롭히다/떼쓰다",조르
조리,요리; 요리,조리
조리법,요리법,조리법
조리사,요리사; 요리사,조리사
조립,"만들다, 맞추다",조립
조만간,곧,조만간
조문,문상,조문
조문객,문상객,조문객
조사,토; 알아보다,조사
조상,선조,조상
조세,"세, 세금",조세
조심조심,조심조심히,조심조심
조언,도움말,조언
조의금,부의금,조의금
조작,취급; 날조하다/짓다/지어내다/꾸미,조작
조장,"권장, 촉진; 부추기다/악화시키다/권장하다/격려하다/복돋우다/고무하다",조장
조절,맞추다,조절
조정,중재; 조절되다/보정되다,조정
조종사,파일럿,조종사
조직,"기관, 기구, 사회; 결성하다/정비하다/주선하다",조직
조짐,"기미, 낌새, 전조, 징후",조짐
조치,조처,조치
조합,배합; 단체,조합
족하다,"넉넉하다, 만족하다, 충분하다",족하
존댓말,높임말,존댓말
존재,있다; 있다있다,존재
졸이다,조리다,졸
좀처럼,좀체; 부정문/드물게/여간해서,좀처럼
종,종류; 종자; 벨; 종류,종
종결,끝막음,종결
종료,"끝, 완료, 종결, 끝내다",종료
종일종일,"온종일, 온종일",종일
종전,"먼저, 이전",종전
종종,가끔,종종
종착역,"터미널, 종점",종착역
좌석,자리; 자리,좌석
좌우,좌지우지하다; 좌지우지하다/파급하다/미치다,좌우
좌우명,신조,좌우명
좌절,"낭패, 체념, 절망; 꺾이다/낙심하다/낙담하다",좌절
좌측,왼쪽,좌측
죄송스럽다,유감스럽다; 미안,죄송
죄인,죄수,죄인
죄책감,죄악감,죄책감
주주,주체; 주식,주주
주거,"거주, 주택",주거
주거지,집터,주거지
주관,"관장, 주도, 주최; 자아, 주체; 관장하다/감수하다/감독하다/잡죄다",주관
주권,통치권,주권
주도,"앞장서다, 이끌다; 이끌다/앞장서다/앞서다/선도하다/솔선하다/선머리에 서다/수뇌가 되다",주도
주름,주름살,주름
주름살,주름,주름살
주목,눈여겨보다; 주시/각광; 눈여겨보다/유의하다/집중하다,주목
주무르다,"안마하다, 마사지하다, 주물럭거리다, 주물럭대다, 주물럭주물럭하다",주무르
주민,거주민,주민
주방,부엌; 부엌,주방
주식,주식물; 주,주식
주역,"주연, 주연 배우",주역
주연,주역,주연
주요,중요; 중요,주요
주의,"설, 이데올로기, 이념; 조심; 조심",주의
주최,"개최, 주관",주최
주택,주거; 단독 주택,주택
죽음,사,죽음
준수,"지키다; 수려하다, 잘생기다; 지키다/복종하다/순종하다/받듣다",준수
줄곧,내내; 계속/끊임없이/연달아/연속적으로,줄곧
중,"불승, 승",중
중개,매개,중개
중개인,"중개업자, 중개자",중개인
중계,중계방송,중계
중고,중고품,중고
중년,장년,중년
중단,중절; 멈추다,중단
중대,중요,중대
중도,도중,중도
중력,만유인력,중력
중매,중신,중매
중병,"중환, 중증",중병
중복,겹치다,중복
중세,중세기,중세
중시,중대시,중시
중얼거리다,"중얼대다, 중얼중얼하다",중얼거리
중점,"강조, 역점, 요점",중점
중증,중병,중증
중지,"정지, 중단, 그만두다, 멈추다",중지
즈음,무렵,즈음
즉,곧,즉
즉시,"곧장, 바로",즉시
즐비하다,"늘비하다, 많다",즐비
증가,늘다,증가
증대,증가,증대
증명,밝히다; 증명서,증명
증명서,증명,증명서
증상,증세,증상
증세,"증상, 증후",증세
증오,"미움, 혐오",증오
증정,"기증, 증여; 주다/바치다",증정
증진,늘이다; 개선/작흥/승진/양양,증진
지각,"인식, 깨달음",지각
지겹다,"지긋지긋하다, 지루하다, 질리다",지겹
지구력,"끈기, 인내력, 인내심",지구력
지그시,"가만히, 살며시",지그시
지극하다,극진하다,지극
지금껏,여태껏,지금껏
지급,주다; 주다/지불하다/제공하다/공급하다,지급
지껄이다,"말하다, 흥얼거리다, 흥얼대다, 흥얼흥얼하다",지껄이
지니다,가지다; 가지다/품다/보유하다/간직하다/갖추다,지니
지다,메다; 입다; 메다,지다
지대,지구,지대
지도,"가르침, 가르치다",지도
지도자,리더,지도자
지독하다,"끔찍하다, 심하다",지독
지름,직경,지름
지름길,첩경; 첩경,지름길
지리,지형,지리
지면,"서면, 지상; 땅/땅바닥",지면
지문,글,지문
지배,"관리, 통제, 통치; 집정하다/다스리다/통치하다/통어하다",지배
지불,내다,지불
지사,지부,지사
지상,지면,지상
지성,"이성, 지식, 지혜",지성
지속,"유지, 계속, 연속; 연속적, 연속적; 속개하다/이어지다/잇다/계속하다",지속
지시,명령,지시
지연,"연기, 지체, 밀리다; 지체/연기/미룸/유예",지연
지원,뒷받침,지원
지위,"계급, 신분",지위
지장,"방해, 애로, 장애; 방해/헤살",지장
지저분하다,더럽다; 더럽다,지저분
지적,"지목, 가리키다; 꼽다/지목하다/짚다",지적
지점,분점,지점
지정,정하다; 지적하다,지정
지지,"뒷받침, 찬동",지지
지치다,"피곤하다, 피로하다",지치
지폐,종이돈,지폐
지표,바로미터,지표
지형,지세,지형
지혜,"슬기, 지; 슬기롭다; 영지/예지/현명/오성/삼덕/앎",지혜
지휘,지시,지휘
직,관직,직
직면,당면; 부닥치다/조우하다/붕착하다/처하다,직면
직무,"업무, 사무",직무
직위,직책,직위
진급,승급,진급
진땀,식은땀,진땀
진료,"치료, 진찰",진료
진보,"개명, 개화",진보
진상,참모습,진상
진실,참,진실
진열,"배열, 나열",진열
진입,들어가다; 접어들다/들어가다,진입
진작,진즉; 미리/진즉/먼저/미연에/사전에,진작
진전,"발전, 진보",진전
진정,정말; 정말; 수습; 평정; 참되다,진정
진찰,진료,진찰
진출,나가다; 전진하다/진행하다,진출
진풍경,진경,진풍경
진행자,"사회자, 엠시",진행자
진화,발달; 발전하다/발달하다/진전하다,진화
질리다,"지겹다, 질색하다, 물리다",질리
질병,"우환, 질환; 병",질병
질의,질문; 질문; 질문/의문,질의
질투,"투기; 샘, 시새움, 시샘",질투
질환,질병,질환
짊어지다,맡다,짊어지
짐승,"금수, 동물; 동물",짐승
집다,잡다,집
집단,"그룹, 단체",집단
집사람,"아내, 안사람",집사람
집착,"애착, 집념",집착
짓,행동,짓
짓궂다,심술궂다,짓궂
짓밟다,뭉개다; 밟아 뭉개다/짓이기다,짓밟
짓밟히다,뭉개지다,짓밟히
징그럽다,"흉측하다, 흉하다",징그럽
짖다,울다; 울다,짖
짙다,진하다,짙
짜다,만들다; 조직하다; 세우다,짜
짜임새,구성,짜임새
짤막하다,짧다,짤막
짭짤하다,짜다; 짜다,짭짤
째려보다,노려보다; 노려보다/쏘아보다,째려보
쪼개다,뻐개다,쪼개
쪼그리다,오그리다,쪼그리
쪼다,찍다,쪼다
쪽,페이지,쪽
쪽쪽,조각,쪽쪽
쫓아내다,"내쫓다, 몰아내다, 추방하다; 내쫓다, 추방하다; 몰아내다",쫓아내
쫓아다니다,따라다니다,쫓아다니
쭈그리다,오그리다,쭈그리
찌꺼기,"부스러기, 쓰레기",찌꺼기
찌뿌드드하다,"나른하다, 뻐근하다; 몸이/2날씨가 흐리다/흐릿하다/끄무레하다",찌뿌드드
찌푸리다,찡그리다; 흐리다/흐릿하다/끼다/2찡그리다/누비다,찌푸리
찍히다,촬영되다,찍히
찜질,찜; 찜,찜질
찡그리다,찌푸리다,찡그리
찢기다,찢어지다,찢기
찢어지다,찢기다,찢어지
찧다,빻다,찧
차,차이; 찻길; 찻길; 자동차,차
